week,team_id,team,overall_eff,off_eff,def_eff,school,conference,color,logo
8,2628,TCU,81.53099999999999,86.233,62.419000000000004,TCU,Big 12,#3C377D,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
8,344,Mississippi St,76.935,64.217,77.657,Mississippi State,SEC,#762123,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png
8,239,Baylor,65.28399999999999,71.083,59.684000000000005,Baylor,Big 12,#004834,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png
8,183,Syracuse,75.087,69.598,71.34,Syracuse,ACC,#F37321,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png
8,154,Wake Forest,73.237,76.112,61.062000000000005,Wake Forest,ACC,#9E7E38,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png
8,52,Florida St,70.631,77.812,54.299,Florida State,ACC,#782F40,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
8,87,Notre Dame,62.916000000000004,46.961000000000006,66.70700000000001,Notre Dame,FBS Independents,#00122b,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png
8,135,Minnesota,71.356,65.97,70.15299999999999,Minnesota,Big Ten,#981a31,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
8,2306,Kansas St,74.96000000000001,60.055,80.267,Kansas State,Big 12,#633194,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
8,275,Wisconsin,64.46600000000001,66.621,59.10300000000001,Wisconsin,Big Ten,#A00001,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png
8,120,Maryland,67.23,76.023,51.269,Maryland,Big Ten,#D5002B,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png
8,66,Iowa State,66.459,54.956,74.629,Iowa State,Big 12,#660015,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
8,245,Texas A&M,65.179,42.663000000000004,72.787,Texas A&M,SEC,#5C0025,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
8,152,NC State,70.487,40.904,81.04,NC State,ACC,#EF1216,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png
8,2116,UCF,66.335,69.98,52.173,UCF,American Athletic,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
8,26,UCLA,68.803,83.21,48.317,UCLA,Pac-12,#005C8E,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png
8,2641,Texas Tech,62.659,58.872,70.356,Texas Tech,Big 12,#C80025,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
8,2132,Cincinnati,66.595,52.132,68.608,Cincinnati,American Athletic,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
8,96,Kentucky,68.193,50.117999999999995,82.081,Kentucky,SEC,#005DAA,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
8,356,Illinois,72.517,55.184,84.393,Illinois,Big Ten,#f77329,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
8,264,Washington,68.098,80.381,43.502,Washington,Pac-12,#2B2F64,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
8,2509,Purdue,65.586,63.739000000000004,63.542,Purdue,Big Ten,#B89D29,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
8,201,Oklahoma,59.257000000000005,71.462,40.283,Oklahoma,Big 12,#7b0000,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png
8,97,Louisville,68.10000000000001,51.602000000000004,73.38900000000001,Louisville,ACC,#ad000a,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
8,204,Oregon St,69.83,65.84100000000001,65.805,Oregon State,Pac-12,#c34500,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png
8,153,North Carolina,62.315,85.15599999999999,26.378,North Carolina,ACC,#99bfe5,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png
8,57,Florida,59.123999999999995,68.27600000000001,47.221000000000004,Florida,SEC,#0021A5,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
8,127,Michigan St,49.647999999999996,53.191,46.678,Michigan State,Big Ten,#18453B,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png
8,8,Arkansas,57.06400000000001,72.142,37.8,Arkansas,SEC,#9c1831,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
8,2655,Tulane,69.329,55.150999999999996,72.297,Tulane,American Athletic,#005837,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
8,221,Pitt,51.754,44.376,64.142,Pittsburgh,ACC,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png
8,2294,Iowa,60.257000000000005,12.25,89.361,Iowa,Big Ten,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
8,2,Auburn,54.059999999999995,44.541,61.826,Auburn,SEC,#03244d,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
8,2579,South Carolina,60.355000000000004,49.806,55.306,South Carolina,SEC,#670010,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
